Prov,,Company name,Company Twitter,,Company Twitter,"Nb. of 
Employees",What do they do (Verbatim - 10 words max.)  ,Link to website,HQ City,HQ Country,CEO name,CEO Twitter,,CEO's Twitter,Link to jobpage
Legacy,,Clevertech,clevertech,twitter.com/,twitter.com/clevertech,51-200,We create beautiful apps for start-ups and entreprise,Clevertech,"Woodmere, NY",USA,Kuty Shalev,kuty,twitter.com/,twitter.com/kuty,http://hire.clevertech.biz/
Legacy,Old,100Starlings,100Starlings,twitter.com/,twitter.com/100Starlings,1-10,"Cooperative, doing custom web/mobile dev   ",http://www.100starlings.com/,London,UK,Riccardo Cambiassi,bru,twitter.com/,twitter.com/bru,https://angel.co/100starlings
,Old,10up,,,twitter.com/10up,51-200,Finely crafted websites & tools for content creators,https://10up.com,,USA,John Eckman,,,,
,New,21Zephyr,,,twitter.com/T21zephyr,1-10,We are about Blockchains.,https://www.21zephyr.com/,"Chicago, IL",USA,Michael Gucci,,,,
Legacy,Old,2600Hz,2600hertz,twitter.com/,twitter.com/2600hertz,11-50,All-in-one telecom solution in the cloud      ,http://www.2600hz.com/,"San Francisco, CA",USA,Darren Schreiber,,,,https://www.2600hz.com/careers
Legacy,Old,33 Sticks,33sticks,twitter.com/,twitter.com/33sticks,1-10,Analytics insights & optimization services.  ,http://33sticks.com/,"American Fork, Utah",USA,Jason Thompson,usujason,twitter.com/,twitter.com/usujason,http://33sticks.com/join-us/
Legacy,Old,3DprinterOS,3DPrinterOS,twitter.com/,twitter.com/3DPrinterOS,11-50,3D Printer Integration and Qualification    ,https://www.3dprinteros.com/,"San Francisco, CA ",USA,John Ulgar Dogru,JDogru,http://twitter.com/,http://twitter.com/JDogru,https://angel.co/3dprinteros/jobs
Legacy,Old,3nder,feeldCo,twitter.com/,twitter.com/feeldCo,1-10,Celebrating openminded humans.  ,https://feeld.co/,London,UK,Dimo Trifonov,denull,twitter.com/,twitter.com/denull,https://feeld.co/jobs
Legacy,Old,3SMobile,3S_Mobile,twitter.com/,twitter.com/3S_Mobile,1-10,Full-stack design and dev focused on mobile,http://www.3smobile.com/,Zurich,Switzerland,Eric Seuret,EricSeuret,twitter.com/,twitter.com/EricSeuret,
Legacy,Old,4 Ventos,4ventosnet,twitter.com/,twitter.com/4ventosnet,1-10,Web development and press relations,https://www.4ventos.net/,Porto,Portugal,Filipe Miguel Tavares,,,,
Legacy,Old,45royale,45royale,twitter.com/,twitter.com/45royale,1-10,"We’re 45royale, an experienced web design studio in Atlanta, GA.  ",http://45royale.com/,"Atlanta, GA",USA,Adam Little,adam_little,twitter.com/,twitter.com/adam_little,https://careers.councilofnonprofits.org/company/45royale/
,Old,4D Pipeline,,,twitter.com/4Dpipeline,1-10,Making Ideas and Products Successful. Agile Software Design and Development,https://www.4dpipeline.com/,"San Jose, CA",USA,Tyler Worden,,,,
,Old,51Blocks,,,twitter.com/51blocks,1-10,Digital Marketing Company.,https://www.51blocks.com,"Dever, CO",USA,Michael Borgelt,,,twitter.com/borgie,
Legacy,Old,Acceleration Partners ,accelerationpar,twitter.com/,twitter.com/accelerationpar,11-50,Customer Acquisition Programs that deliver real profits.  ,http://www.accelerationpartners.com/,"Needham, MA",USA,Robert Glazer,robert_glazer,twitter.com/,twitter.com/robert_glazer,http://www.accelerationpartners.com/join-our-team
StackO Jobs,Old,Accella,AccellaLLC,twitter.com/,twitter.com/AccellaLLC,11-50,a digital interactive agency,http://www.accella.net/contact,"Severna Park, MD",USA,Jason King,,,,http://www.accella.net/contact
WWR,Old,Accounto Technology,accounto_tech,twitter.com/,twitter.com/accounto_tech,11-50,German-speaking agency,https://www.accounto.io/warum-accounto/,Basel,Switzerland,Alain Veuve,,,twitter.com/alainveuve,https://www.accounto.io
,New,ACEA Bioscience,,,twitter.com/aceabiosciences,11-50,Provide innovative high performance technologies that advance scientific discovery,https://www.aceabio.com,"San Diego, CA",USA,Xiao Xu,,,,
WWR,Old,Action Verb,,,N/A,11-50,Platforms for Organizations,http://actionverb.com/,"Las Vegas, NV",USA,Kevin Bombino,,,,actionverb.com
Legacy,Old,Actionable.co,actionableco,twitter.com/,twitter.com/actionableco,11-50,Learning & development platform company changing how we learn at work,http://www.actionable.co,N/A,Australia/Canada,Chris Taylor,,,twitter.com/actionablechris,https://actionable.co/careers
,Old,ActiveCampaign,,,https://twitter.com/ActiveCampaign,11-50,Go beyond email marketing with true marketing automation,https://www.activecampaign.com,"Chicago, IL",USA,Jason VandeBoom,,,twitter.com/jvandeboom,
remoteok,Old,ActiveProspect,activeprospect,twitter.com/,twitter.com/activeprospect,11-50,A marketing automation middleware platform,https://activeprospect.com,"Austin, TX",USA,Steve Rafferty,,,,https://activeprospect.com/
Legacy,Old,Actyx,actyx,twitter.com/,twitter.com/actyx,1-10,Rethinking manufacturing,https://www.actyx.io/de/,"München, Bavaria",Germany,Oliver Stollmann,oliverstollmann,twitter.com/,twitter.com/oliverstollmann,https://www.actyx.io/en/join-us/
Legacy,Old,AddStructure,addstructure,twitter.com/,twitter.com/addstructure,1-10,Natural Language Processing for big retail,https://www.addstructure.com/,"Chicago, IL",USA,Jarrod Wolf,,,,https://angel.co/addstructure
Legacy,Old,AdEspresso,AdEspresso,twitter.com/,twitter.com/AdEspresso,1-10,Optimize your Facebook Ads Easily,https://adespresso.com/,"San Francisco, CA",USA,Massimo Chieruzzi,MassimoCw,twitter.com/,twitter.com/MassimoCw,https://adespresso.com/jobs/
,New,AdQuick,,,twitter.com/adquick,11-50,Make buying and measuring outdoor ads easy,https://www.adquick.com/,"Santa Monica, CA",USA,Fahim Ferdous,,,twitter.com/fahim,
,New,Advantage Integrated Solutions,,,N/A,1-10,"Use leading cloud tools, to deliver agile solutions that help clients improve performance",https://www.advantagequickbase.com,"Denver, CO",USA,Scott Wyatt,,,,
,New,Advocate,,,twitter.com/Advocategg,1-10,Pushing the boundaries of gaming livestream sponsorships & marketing,http://adv.gg,"Los Angeles, CA",USA,,,,,
Lukasz,Old,AgentFire,AgentFireSites,twitter.com/,twitter.com/AgentFireSites,1-10,Hyper local real estate websites powered by Wordpress.,https://agentfire.com/,"New York, NY",USA,Nelson Cuesta,,,,
Legacy,Old,AgileBits  ,1Password,twitter.com/,twitter.com/1Password,11-50,Put Passwords In Their Place,https://agilebits.com/,Canada,Canada,Jeff Shiner,jeffreyshiner,twitter.com/,twitter.com/jeffreyshiner,https://angel.co/agilebits/jobs
Legacy,Old,Aha! ,aha_io,twitter.com/,twitter.com/aha_io,11-50,Aha! is roadmapping software for PMs who want their mojo back,http://www.aha.io/,"Menlo Park, CA",USA,Brian de Haaff,bdehaaff,twitter.com/,twitter.com/bdehaaff,http://www.aha.io/company/careers
